"condition_id","composition","n","R2","learner","auroc_true.auroc","auroc_naive.auroc","auroc_subject.auroc","brier_true.brier","brier_naive.brier","brier_subject.brier","u_raw","u_q4","n_classes","max_class","prevalence","n_valid","mcse_auroc_naive"
1,"5 continuous",50,0.05,"logistic",0.558368481713087,0.705872156127455,0.516422315346277,0.272356583973319,0.210251166332866,0.274817758309235,1,0.96416,50,1,0.48172,500,0.00295811491646544
2,"3 continuous + 2 binary",50,0.05,"logistic",0.558929682211303,0.705539884539756,0.509340809601576,0.271469408381256,0.210602329348942,0.276459002014739,1,0.55328,50,1,0.4828,500,0.00284178319352412
3,"2 continuous + 3 binary",50,0.05,"logistic",0.560270784339147,0.707421482302104,0.515330324419393,0.271307436931897,0.209897316146318,0.274116028666785,1,0.10136,50,1,0.473,500,0.00283499677362644
4,"1 continuous + 4 binary",50,0.05,"logistic",0.559905516077075,0.701980882266254,0.503665258442862,0.270276580908475,0.212197318164177,0.277829201494537,1,0.0034,50,1,0.48376,500,0.00272022463304706
5,"5 binary",50,0.05,"logistic",0.561251354434381,0.69880070549621,0.508201576865617,0.270922700298506,0.210806182683609,0.275243015337756,0.21212,0,25.536,4.61,0.48236,500,0.00293194733403667
6,"5 continuous",100,0.05,"logistic",0.575478154058419,0.661684146721397,0.54055751855707,0.254794569137782,0.225647046058778,0.257163503261852,1,0.91936,100,1,0.47924,500,0.00212530007807682
7,"3 continuous + 2 binary",100,0.05,"logistic",0.576826083794041,0.663616110751,0.542664142881453,0.254133898833849,0.225734440808644,0.257046208338138,1,0.2651,100,1,0.47946,500,0.00207390020585904
8,"2 continuous + 3 binary",100,0.05,"logistic",0.576909258984305,0.664231508067697,0.542718823224042,0.254932115000631,0.225538536501659,0.257047343618789,1,0.01264,100,1,0.48326,500,0.00214245275767693
9,"1 continuous + 4 binary",100,0.05,"logistic",0.57844540291803,0.667828940000677,0.549062166794085,0.254642855754892,0.224724386200899,0.255702152945696,1,0,100,1,0.47972,500,0.00205603881261875
10,"5 binary",100,0.05,"logistic",0.576090402178092,0.659160255431637,0.539530443376258,0.254399019979806,0.225743959948696,0.256932842643005,0.04304,0,30.702,7.238,0.47998,500,0.00206847785274183
11,"5 continuous",200,0.05,"logistic",0.590919049235817,0.640370181134755,0.572395860644568,0.247049415588485,0.232372377739275,0.247445503881465,1,0.83256,200,1,0.47947,500,0.00163004521993151
12,"3 continuous + 2 binary",200,0.05,"logistic",0.591103134926727,0.638540339779538,0.567737750021242,0.246861863796152,0.232977530267327,0.248324747913232,1,0.05969,200,1,0.48417,500,0.00159117451919575
13,"2 continuous + 3 binary",200,0.05,"logistic",0.591443123104992,0.641198540114905,0.571571754477727,0.247029258800258,0.232221013582896,0.247430488869464,1,5e-04,200,1,0.47959,500,0.00164250340521928
14,"1 continuous + 4 binary",200,0.05,"logistic",0.591580199106345,0.638976568093339,0.56815001774139,0.246752121673763,0.233030218159995,0.24811962838391,1,0,200,1,0.48314,500,0.00160217181211227
15,"5 binary",200,0.05,"logistic",0.59200789693588,0.638580628490136,0.570799495156788,0.247079684645773,0.232220990071992,0.247442357443968,0.00197,0,31.94,11.942,0.48074,500,0.00157650570662118
16,"5 continuous",50,0.15,"logistic",0.641272176361083,0.75309246932097,0.597763761730661,0.251473344024834,0.194129721102683,0.25508015796197,1,0.96628,50,1,0.47332,500,0.00299395429570027
17,"3 continuous + 2 binary",50,0.15,"logistic",0.644037817683497,0.752964411065893,0.593719274465172,0.250363921106374,0.194823145097503,0.257085223325217,1,0.54868,50,1,0.47976,500,0.00287993278061635
18,"2 continuous + 3 binary",50,0.15,"logistic",0.646330541604861,0.756707858354492,0.601077778248629,0.249612670186251,0.193381054746401,0.255132535640264,1,0.1014,50,1,0.47708,500,0.00294783161267576
19,"1 continuous + 4 binary",50,0.15,"logistic",0.644591688917775,0.755328582122822,0.601405166970578,0.250692751974605,0.19341212227812,0.253820186979741,1,0.00556,50,1,0.48148,500,0.00293400317185632
20,"5 binary",50,0.15,"logistic",0.645737261822793,0.745353031596062,0.589290104511657,0.247991662196282,0.195952215429036,0.258027443339347,0.21,4e-05,25.408,4.618,0.47968,500,0.00284509559622594
21,"5 continuous",100,0.15,"logistic",0.663410526220648,0.727221561588614,0.644598876284666,0.23587268114343,0.207261445342707,0.236063001568343,1,0.91884,100,1,0.48306,500,0.00202789465585014
22,"3 continuous + 2 binary",100,0.15,"logistic",0.665246086652984,0.722366815193105,0.634520162311218,0.234542013685238,0.20898967961069,0.23894477422671,1,0.25964,100,1,0.47986,500,0.00214134826994488
23,"2 continuous + 3 binary",100,0.15,"logistic",0.667033300079169,0.725577183536784,0.638679317133479,0.234529213577287,0.207877221895078,0.237431448191924,1,0.01222,100,1,0.47912,500,0.00218159777210294
24,"1 continuous + 4 binary",100,0.15,"logistic",0.669498700395373,0.724962315109898,0.638122794144668,0.234112973789342,0.208153183183317,0.237468471731316,1,0,100,1,0.48122,500,0.0021347418130381
