"condition_id","fixed_comp","p_L","ICC","rho","n","p_F","s_F","s_L","s_joint","nnrow_F","nnrow_L","nnrow_joint","mcse_s_F","mcse_s_L","mcse_s_joint","mcse_nnrow_F","mcse_nnrow_L","mcse_nnrow_joint","increment"
1,"none",2,0.3,0.3,50,0,NA,0.122656820432937,0.122656820432937,NA,0.0747566666666667,0.0747566666666667,NA,0.00138561457255089,0.00138561457255089,NA,0.00067025295857289,0.00067025295857289,0
2,"1 continuous",2,0.3,0.3,50,1,1,0.120501513515238,0.39107958757293,1,0.07448,0.243026666666667,0,0.00133008269641281,0.00226257939661542,0,0.000635470431176822,0.00140656385820689,-0.60892041242707
3,"2 continuous",2,0.3,0.3,50,2,1,0.12071013055064,0.663919133686232,1,0.0741533333333333,0.46921,0,0.00124403679290634,0.0023165198582901,0,0.000640782429315684,0.00178417309866723,-0.336080866313768
4,"5 continuous",2,0.3,0.3,50,5,1,0.120096043409587,0.968920634185976,1,0.0738166666666667,0.899433333333333,0,0.0012956345906512,0.00076713730910895,0,0.000633177932093875,0.00131908424658217,-0.0310793658140238
5,"2 continuous + 3 binary",2,0.3,0.3,50,5,1,0.120672869464305,0.902020736293,1,0.0738866666666667,0.799703333333333,0,0.00128791131092447,0.00174964715272332,0,0.000606278521809751,0.00207727163701244,-0.0979792637070001
6,"5 binary",2,0.3,0.3,50,5,0.523836735901464,0.123550714858719,0.767960912177157,0.523813333333333,0.0752033333333333,0.68379,0.00262851215364257,0.00131894314328409,0.00254178667861537,0.0026557488394765,0.000635866353083577,0.00235854092580896,0.244124176275693
7,"none",5,0.3,0.3,50,0,NA,0.350991490409819,0.350991490409819,NA,0.173606666666667,0.173606666666667,NA,0.00235969655292727,0.00235969655292727,NA,0.00119505018595748,0.00119505018595748,0
8,"1 continuous",5,0.3,0.3,50,1,1,0.35065792840961,0.573825967468205,1,0.17241,0.323253333333333,0,0.00210119261726532,0.00228126945935591,0,0.0010364294406678,0.00168275358608763,-0.426174032531795
9,"2 continuous",5,0.3,0.3,50,2,1,0.350418638919127,0.752535314445736,1,0.171983333333333,0.49809,0,0.00224109351731701,0.002030781492669,0,0.00103103637831084,0.0019811883450381,-0.247464685554264
10,"5 continuous",5,0.3,0.3,50,5,1,0.353569243520504,0.965550971933561,1,0.172846666666667,0.871313333333333,0,0.00236908659230196,0.00071024043555512,0,0.00119502701178912,0.00146108967084239,-0.0344490280664392
11,"2 continuous + 3 binary",5,0.3,0.3,50,5,1,0.355140676054016,0.931685996630704,1,0.173943333333333,0.815796666666667,0,0.00200332674860035,0.00125987256489939,0,0.00103652748342592,0.00166301239254416,-0.0683140033692958
12,"5 binary",5,0.3,0.3,50,5,0.526664569814949,0.347979100956902,0.891683983114502,0.526773333333333,0.17121,0.78325,0.00245337983214753,0.0022431791279023,0.001861356911087,0.0024767255629637,0.00112373586771574,0.00200341382291336,0.365019413299554
13,"none",2,0.7,0.3,50,0,NA,0.302089970104572,0.302089970104572,NA,0.17549,0.17549,NA,0.00212588856867808,0.00212588856867808,NA,0.00121477942705377,0.00121477942705377,0
14,"1 continuous",2,0.7,0.3,50,1,1,0.302508906271774,0.673553096584885,1,0.177933333333333,0.467,0,0.00206556804700407,0.00234617934053733,0,0.00126008162241276,0.00203316994153635,-0.326446903415115
15,"2 continuous",2,0.7,0.3,50,2,1,0.302288883654704,0.877115957783056,1,0.178093333333333,0.71619,0,0.0022692276193991,0.00179470852688206,0,0.00127825117829734,0.00216682966787968,-0.122884042216944
16,"5 continuous",2,0.7,0.3,50,5,1,0.302838566301016,0.995211642521135,1,0.17832,0.978766666666667,0,0.00212974777646879,0.000275391378699652,0,0.00128870851083839,0.000568535690014946,-0.00478835747886464
17,"2 continuous + 3 binary",2,0.7,0.3,50,5,1,0.303288993845723,0.973379681102079,1,0.175556666666667,0.924,0,0.00230512293203865,0.000792372778520826,0,0.00127853277769934,0.00123817015253687,-0.0266203188979206
18,"5 binary",2,0.7,0.3,50,5,0.520546451398281,0.296054806953056,0.902461234445491,0.520963333333333,0.173853333333333,0.83182,0.00264470197609819,0.00205612748151262,0.00204057116097534,0.00264172886177174,0.00114694905174693,0.00225038347746443,0.381914783047209
19,"none",5,0.7,0.3,50,0,NA,0.805467752527065,0.805467752527065,NA,0.549483333333333,0.549483333333333,NA,0.00215839964545711,0.00215839964545711,NA,0.00228587504793789,0.00228587504793789,0
20,"1 continuous",5,0.7,0.3,50,1,1,0.807322674977551,0.919156716143524,1,0.55176,0.742803333333333,0,0.00215895426722286,0.00139665234258615,0,0.00231043098698424,0.00220520321449002,-0.0808432838564759
21,"2 continuous",5,0.7,0.3,50,2,1,0.804163014309132,0.966572795010329,1,0.54941,0.86565,0,0.00222121905843391,0.000817467045518794,0,0.00237525949682877,0.00168057139454769,-0.0334272049896713
22,"5 continuous",5,0.7,0.3,50,5,1,0.804153316649521,0.997954646448676,1,0.547413333333333,0.988213333333333,0,0.00225447335176304,0.000161679956696596,0,0.00255175598881744,0.000316272257246059,-0.0020453535513244
23,"2 continuous + 3 binary",5,0.7,0.3,50,5,1,0.80389040117323,0.994134846372168,1,0.550763333333333,0.97416,0,0.00204719452781685,0.000326180910599693,0,0.00218975533333685,0.000633976399259892,-0.00586515362783191
